nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon
"Trattoria Sondrio","restaurant","Via Giuseppe Verdi","Castel d'Azzano","Verona","37060","45.3764077","10.96664"
"Osteria alla Rosa","restaurant","Via Cerche","Malcesine","Verona","37018","45.7650853","10.8098509"
"Villa Bongiovanni","restaurant","Via Casotti","San Bonifacio","Verona","37047","45.4138108","11.3280567"
"Locanda Le Muse","restaurant","Via Casotti","San Bonifacio","Verona","37047","45.412911","11.3279343"
"Trattoria Combattente","restaurant","Strada Bergamini","Peschiera del Garda","Verona","37019","45.4496141","10.6698751"
"s´Aligusta","restaurant","Via Bell'Italia","Peschiera del Garda","Verona","37019","45.4447847","10.6720616"
"Ristorante Frassino","restaurant","Via Frassino","Peschiera del Garda","Verona","37019","45.4291721","10.6767211"
"Ristorante Pizzeria Bella Vista","restaurant","Via Lungolago Mazzini","Peschiera del Garda","Verona","37019","45.4402877","10.6898497"
"Hotel Johnson","restaurant","Via Marina","Peschiera del Garda","Verona","37019","45.4409653","10.6967963"
"Cristina e Franco","restaurant","Vicolo Aleardi","Peschiera del Garda","Verona","37019","45.4386805","10.6924563"
"Rosso Peperone","restaurant","Via Generale Carlo Alberto Dalla Chiesa","Pescantina","Verona","37026","45.4838204","10.869978"
"Le Magnolie","restaurant","Via Emilio Salgari","Peschiera del Garda","Verona","37019","45.4418133","10.6991705"
"La Torretta","restaurant","Via G. Galilei","Peschiera del Garda","Verona","37019","45.4385018","10.6934484"
"Il Cantinone","restaurant","Via G. Galilei","Peschiera del Garda","Verona","37019","45.4384176","10.6934069"
"Il Gabbiano","restaurant","Piazzetta Scaligera","Peschiera del Garda","Verona","37019","45.4385565","10.6929951"
"","restaurant","Via Antonio da Legnago","Verona","Verona","37131","45.4484825","11.0431413"
"Al Ponte","restaurant","Via Venezia","Peschiera del Garda","Verona","37019","45.4405688","10.6992425"
"Osteria Le Spine","restaurant","Via Vecchio Mulino","Peschiera del Garda","Verona","37019","45.4461832","10.670272"
"Villa Vento","restaurant","Via Ossario","Sommacampagna","Verona","37066","45.3816717","10.7942944"
"Autogrill","restaurant","Autostrada Serenissima","Sommacampagna","Verona","37066","45.4168624","10.8277431"
"Piper","restaurant","Via Torricelle","Verona","Verona","37128","45.4665727","11.0069433"
"Pizzeria f222","restaurant","Via Colonnello Giovanni Fincato","Verona","Verona","37131","45.4527461","11.0197745"
"Speck Stube Malcesine","restaurant","Via Navene Vecchia","Navene","Verona","37018","45.7838246","10.821195"
"Il Bacco d'oro - Parco di Venere","restaurant","Via Venturi","Mezzane di Sotto","Verona","37030","45.4696387","11.1296585"
"Agriturismo ""La Cueva""","restaurant","Ciclabile","San Bonifacio","Verona","37040","45.386176","11.2658878"
"Hayashi","restaurant","SR11","Bussolengo","Verona","37012","45.4464888","10.8551791"
"Via Verde","restaurant","Strada Provinciale 16","Velo Veronese","Verona","37030","45.5960477","11.1066197"
"Pizzeria Paola","restaurant","Via Gardesana Orientale","Navene","Verona","37018","45.7998394","10.8376699"
"Alla Rama","restaurant","Via Navene Vecchia","Malcesine","Verona","37018","45.7809901","10.8208417"
"Ristorante Al Cervo","restaurant","Via Navene Vecchia","Malcesine","Verona","37018","45.772358","10.8166247"
"Trattoria Molini","restaurant","Via Valle dei Molini","Garda","Verona","37016","45.5861613","10.7259967"
"La Costa In Bra'","restaurant","Piazza Bra","Verona","Verona","37121","45.4396053","10.9932447"
"Le Dase","restaurant","Via Navene Vecchia","Malcesine","Verona","37018","45.7760235","10.8183473"
"Ca Vecia","restaurant","Via Navene Vecchia","Navene","Verona","37018","45.7900266","10.8278324"
"Capri","restaurant","Via Don Quirico Turazza","Malcesine","Verona","37018","45.7629196","10.8077349"
"Mignon","restaurant","Via Dosso","Malcesine","Verona","37018","45.7649811","10.8084334"
"Da Pedro","restaurant","Via Porto Vecchio","Malcesine","Verona","37018","45.7647527","10.8072303"
"Al Marinaio","restaurant","Piazza Magenta","Malcesine","Verona","37018","45.7649654","10.8073853"
"La Pace","restaurant","Via Casella","Malcesine","Verona","37018","45.7650847","10.8074458"
"Pizzeria Capannina","restaurant","Via Poiano","Garda","Verona","37016","45.5800593","10.7303887"
"Autogrill","restaurant","SR11var","Cavalcaselle","Verona","37014","45.4300284","10.7143492"
"Autogrill Lazise","restaurant","Superstrada Peschiera-Affi","Colà","Verona","37017","45.4794855","10.7651469"
"Bellavista","restaurant","Piazza Eichstatt","Bolca","Verona","37030","45.5937063","11.2094122"
"Adele","restaurant","Via Villa Bolca","Bolca","Verona","37030","45.5942503","11.2078831"
